일자,총지수,상승,하락
201101,82.42699999999999,171,19
201102,83.09100000000001,167,9
201103,83.90600000000002,94,19
201104,84.602,66,27
201105,85.194,96,48
201106,85.61600000000001,100,28
201107,85.968,58,34
201108,86.39500000000001,88,11
201109,86.869,68,15
201110,87.217,47,27
201111,87.56400000000001,36,29
201112,87.71100000000001,72,51
201201,87.849,67,23
201202,87.997,52,16
201203,88.13100000000001,55,31
201204,88.22600000000001,30,45
201205,88.269,32,30
201206,88.238,41,34
201207,88.137,35,63
201208,88.048,52,84
201209,87.914,34,48
201210,87.81500000000001,51,58
201211,87.747,61,51
201212,87.686,57,51
201301,87.638,46,66
201302,87.58600000000001,63,38
201303,87.54600000000002,64,51
201304,87.548,70,19
201305,87.53600000000002,64,21
201306,87.50100000000002,53,44
201307,87.498,57,41
201308,87.46400000000001,68,36
201309,87.51,76,25
201310,87.68900000000001,92,26
201311,87.843,66,25
201312,88.012,102,26
201401,88.113,123,24
201402,88.25800000000001,129,24
201403,88.507,115,14
201404,88.69100000000002,57,32
201405,88.75100000000002,55,31
201406,88.813,58,27
201407,88.89500000000001,59,22
201408,89.01500000000001,79,10
201409,89.26,74,11
201410,89.525,62,10
201411,89.708,103,29
201412,89.87400000000001,85,23
201501,89.994,60,7
201502,90.20100000000001,83,10
201503,90.57500000000002,124,10
201504,91.02600000000001,127,13
201505,91.36600000000001,76,7
201506,91.789,138,5
201507,92.18100000000001,92,10
201508,92.54400000000001,109,9
201509,92.98100000000001,103,8
201510,93.299,105,6
201511,93.69900000000001,136,14
201512,93.87100000000001,117,25
201601,93.94900000000001,151,29
201602,94.017,57,45
201603,94.05000000000001,90,35
201604,94.08900000000001,56,17
201605,94.15100000000001,72,21
201606,94.237,64,28
201607,94.36000000000001,67,31
201608,94.48,59,28
201609,94.61000000000001,53,24
201610,94.84,87,23
201611,95.08000000000001,60,14
201612,95.15100000000001,49,28
201701,95.172,73,34
201702,95.183,30,24
201703,95.208,50,14
201704,95.244,51,14
201705,95.29400000000001,45,10
201706,95.46100000000001,83,24
201707,95.686,84,18
201708,95.915,39,17
201709,95.99600000000001,36,12
201710,96.105,51,16
201711,96.238,34,18
201712,96.337,44,21
201801,96.518,84,47
201802,96.72800000000001,47,17
201803,96.97100000000002,53,29
201804,97.135,56,36
201805,97.23400000000001,23,39
201806,97.328,31,52
201807,97.442,53,84
201808,97.65100000000001,54,33
201809,98.617,64,23
201810,99.174,81,49
201811,99.32600000000001,56,80
201812,99.40400000000001,67,69
201901,99.424,57,136
201902,99.358,19,99
201903,99.253,23,88
201904,99.11500000000001,34,105
201905,99.049,18,46
201906,98.962,31,60
201907,98.95500000000001,53,58
201908,99.01,52,44
201909,99.06400000000001,57,34
201910,99.157,83,42
201911,99.298,65,26
201912,99.64600000000002,101,24
202001,100.00000000000001,90,46
202002,100.372,97,9
202003,100.93500000000002,65,41
202004,101.168,55,34
202005,101.308,48,49
202006,101.80100000000002,108,27
202007,102.702,106,12
202008,103.50500000000001,179,7
202009,104.333,147,8
202010,105.03500000000001,118,15
202011,106.549,140,3
202012,108.01,177,14
