일자,상승,하락
201601,151,29
201602,57,45
201603,90,35
201604,56,17
201605,72,21
201606,64,28
201607,67,31
201608,59,28
201609,53,24
201610,87,23
201611,60,14
201612,49,28
201701,73,34
201702,30,24
201703,50,14
201704,51,14
201705,45,10
201706,83,24
201707,84,18
201708,39,17
201709,36,12
201710,51,16
201711,34,18
201712,44,21
201801,84,47
201802,47,17
201803,53,29
201804,56,36
201805,23,39
201806,31,52
201807,53,84
201808,54,33
201809,64,23
201810,81,49
201811,56,80
201812,67,69
201901,57,136
201902,19,99
201903,23,88
201904,34,105
201905,18,46
201906,31,60
201907,53,58
201908,52,44
201909,57,34
201910,83,42
201911,65,26
201912,101,24
202001,90,46
202002,97,9
202003,65,41
202004,55,34
202005,48,49
202006,108,27
202007,106,12
202008,179,7
202009,147,8
202010,118,15
202011,140,3
202012,177,14
